MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
132,0,1.557,0.634,35.415,1.88,1.567,-0.16,4.28,7.11,1.362,0.983,0.6165,1961.953,1.782,7.433,4.215,4.374,1.548,1.186,0.026,0.704,0.975,0.055,0.826,13.793,5.236,0.523,1.83
133,0,1.609,0.833,33.831,1.886,1.564,-0.211,4.28,7.11,1.36,0.982,0.6245,1934.831,1.818,7.428,4.382,4.482,1.5,1.186,0.027,0.72,0.938,0.063,0.824,16.58,5.236,0.522,1.83
134,0,1.622,0.293,28.218,1.884,1.438,-0.166,4.28,7.11,1.439,1.053,1.0272,538.849,0.599,7.066,3.578,4.498,1.551,1.177,0.048,0.853,1.062,0.058,0.828,11.275,5.237,0.566,1.83
135,0,1.678,0.409,26.636,1.889,1.435,-0.221,4.28,7.11,1.435,1.049,1.0513,526.446,0.712,7.059,3.744,4.624,1.504,1.177,0.048,0.838,1.019,0.067,0.825,14.03,5.237,0.565,1.83
136,0,1.67,0.415,26.075,2.102,1.272,-0.194,4.28,7.11,1.4,1.092,1.0608,519.857,1.246,7.035,3.875,4.458,1.549,1.195,0.049,0.928,1.084,0.139,0.838,10.578,5.236,0.542,1.83
137,0,1.728,0.604,24.507,2.108,1.265,-0.251,4.28,7.11,1.397,1.089,1.0865,507.413,1.306,7.027,4.042,4.579,1.503,1.194,0.05,0.923,1.039,0.153,0.834,13.283,5.236,0.541,1.83
138,0,1.646,0.513,27.557,1.917,1.385,-0.161,4.28,7.11,1.401,1.01,1.0706,602.21,1.053,7.094,4.041,6.147,1.504,1.187,0.044,0.781,1.037,0.088,0.789,14.6,5.237,0.56,1.83
139,0,1.664,0.452,28.166,1.914,1.476,-0.224,4.28,7.11,1.394,1.022,0.8693,798.8,1.145,7.136,3.952,4.607,1.504,1.178,0.04,0.813,0.985,0.094,0.82,14.671,5.236,0.548,1.83
140,0,1.664,0.452,28.166,1.914,1.476,-0.224,4.28,7.11,1.394,1.022,0.8693,798.8,1.145,7.136,3.952,4.607,1.504,1.178,0.04,0.813,0.985,0.094,0.82,14.671,5.236,0.548,1.83
141,0,1.554,0.319,32.648,1.834,1.435,-0.146,4.28,7.11,1.437,1.022,0.7947,1022.136,0.599,7.275,3.702,4.485,1.552,1.156,0.034,0.851,1.011,0.053,0.819,13.22,5.236,0.559,1.83
142,0,1.607,0.435,31.066,1.84,1.433,-0.197,4.28,7.11,1.434,1.019,0.8083,1004.071,0.712,7.269,3.869,6.715,1.552,1.156,0.035,0.836,0.973,0.06,0.816,16.019,5.236,0.558,1.83
143,0,1.55,0.321,34.03,1.817,1.388,-0.141,4.28,7.11,1.423,0.983,0.7716,939.066,0.599,7.195,3.628,4.529,1.551,1.11,0.037,0.813,1.011,0.057,0.81,13.132,5.236,0.567,1.83
