MOFID,targets,Vatomic,EE_B_p,GATS4e,GATS1m,MATS4p,SpMin1_Bh_s,ATSC2e,SpMax2_Bh_m,GATS3p,Mp,EM,GATS2e,GATS2p,SpMAD_B_p,ratomic,GATS5e,GATS1p,SM1_Dz_e,ATSC1e,ATSC1p,P,m,Eta_sh_x,ATSC6p
119,0.136714,9.83,8.523,1.357,0.946,0.043,1.612,1.165,4.913,2.062,0.855,5.31,0.932,1.269,1.779,1.53,1.386,1.675,0.702,0.665,16.316,1.63,50.94,0.06,53.436
120,0.301514,9.83,8.523,1.357,0.946,0.043,1.612,1.165,4.913,2.062,0.855,5.31,0.932,1.269,1.779,1.53,1.386,1.675,0.702,0.665,16.316,1.63,50.94,0.06,53.436
121,0.493914,9.83,8.517,1.532,0.907,0.048,1.561,1.486,4.913,2.064,0.852,5.31,0.919,1.268,1.781,1.53,1.429,1.715,0.805,1.023,20.541,1.63,50.94,0.06,54.484
122,0.432014,9.83,8.517,1.532,0.907,0.048,1.561,1.486,4.913,2.064,0.852,5.31,0.919,1.268,1.781,1.53,1.429,1.715,0.805,1.023,20.541,1.63,50.94,0.06,54.484
123,0.200214,9.83,8.591,1.176,0.902,0.038,1.612,1.511,4.912,2.071,0.846,5.31,0.834,1.316,1.759,1.53,1.146,1.669,1.605,0.947,17.795,1.63,50.94,0.04,67.501
124,0.352814,9.83,8.591,1.176,0.902,0.038,1.612,1.511,4.912,2.071,0.846,5.31,0.834,1.316,1.759,1.53,1.146,1.669,1.605,0.947,17.795,1.63,50.94,0.04,67.501
125,0.325814,9.83,8.585,1.303,0.867,0.043,1.561,1.848,4.912,2.073,0.844,5.31,0.84,1.315,1.761,1.53,1.2,1.708,1.648,1.337,22.074,1.63,50.94,0.041,68.405
126,0.399814,9.83,8.585,1.303,0.867,0.043,1.561,1.848,4.912,2.073,0.844,5.31,0.84,1.315,1.761,1.53,1.2,1.708,1.648,1.337,22.074,1.63,50.94,0.041,68.405
127,0.270314,9.83,8.51,1.592,1.003,0.028,1.612,0.823,4.912,2.158,0.888,5.31,1.182,1.371,1.801,1.53,1.384,1.73,-0.492,0.724,16.184,1.63,50.94,0.062,47.773
128,0.331614,9.83,8.51,1.592,1.003,0.028,1.612,0.823,4.912,2.158,0.888,5.31,1.182,1.371,1.801,1.53,1.384,1.73,-0.492,0.724,16.184,1.63,50.94,0.062,47.773
129,0.439514,9.83,8.503,1.793,0.961,0.034,1.561,1.097,4.912,2.16,0.885,5.31,1.127,1.37,1.804,1.53,1.436,1.772,-0.35,1.028,20.377,1.63,50.94,0.063,48.811
130,0.343914,9.83,8.503,1.793,0.961,0.034,1.561,1.097,4.912,2.16,0.885,5.31,1.127,1.37,1.804,1.53,1.436,1.772,-0.35,1.028,20.377,1.63,50.94,0.063,48.811
131,0.314314,9.83,8.585,1.303,0.867,0.043,1.561,1.848,4.912,2.073,0.844,5.31,0.84,1.315,1.761,1.53,1.2,1.708,1.648,1.337,22.074,1.63,50.94,0.041,68.405
132,0.479814,9.83,8.585,1.303,0.867,0.043,1.561,1.848,4.912,2.073,0.844,5.31,0.84,1.315,1.761,1.53,1.2,1.708,1.648,1.337,22.074,1.63,50.94,0.041,68.405
133,1.318314,8.65,8.126,1.707,1.023,0.023,1.588,0.776,4.98,1.968,0.871,4.1,1.246,1.271,1.798,1.52,1.447,1.69,-0.396,0.622,14.69,1.66,52.0,0.066,59.331
134,1.336914,8.65,8.126,1.707,1.023,0.023,1.588,0.776,4.98,1.968,0.871,4.1,1.246,1.271,1.798,1.52,1.447,1.69,-0.396,0.622,14.69,1.66,52.0,0.066,59.331
135,1.145514,8.65,8.119,1.909,0.979,0.029,1.538,1.061,4.98,1.97,0.867,4.1,1.125,1.27,1.802,1.52,1.45,1.733,-0.238,0.86,18.583,1.66,52.0,0.066,60.002
136,1.166114,8.65,8.119,1.909,0.979,0.029,1.538,1.061,4.98,1.97,0.867,4.1,1.125,1.27,1.802,1.52,1.45,1.733,-0.238,0.86,18.583,1.66,52.0,0.066,60.002
137,1.216414,8.65,8.115,1.245,1.033,0.079,1.587,0.828,4.98,2.157,0.888,4.1,1.111,1.279,1.802,1.52,1.357,1.699,0.774,0.556,14.675,1.66,52.0,0.068,42.701
138,1.200414,8.65,8.115,1.245,1.033,0.079,1.587,0.828,4.98,2.157,0.888,4.1,1.111,1.279,1.802,1.52,1.357,1.699,0.774,0.556,14.675,1.66,52.0,0.068,42.701
139,0.951314,8.65,8.108,1.473,0.986,0.088,1.536,1.163,4.98,2.158,0.884,4.1,1.068,1.278,1.806,1.52,1.319,1.743,0.87,0.857,18.514,1.66,52.0,0.069,43.16
140,0.699014,8.65,8.108,1.473,0.986,0.088,1.536,1.163,4.98,2.158,0.884,4.1,1.068,1.278,1.806,1.52,1.319,1.743,0.87,0.857,18.514,1.66,52.0,0.069,43.16
141,1.229614,8.65,8.138,1.497,1.044,0.045,1.588,0.707,4.98,2.011,0.829,4.1,1.052,1.292,1.738,1.52,1.345,1.68,0.294,0.678,14.91,1.66,52.0,0.061,66.32
142,1.194614,8.65,8.138,1.497,1.044,0.045,1.588,0.707,4.98,2.011,0.829,4.1,1.052,1.292,1.738,1.52,1.345,1.68,0.294,0.678,14.91,1.66,52.0,0.061,66.32
143,1.124614,8.65,8.131,1.699,1.002,0.05,1.538,0.976,4.98,2.014,0.826,4.1,1.004,1.291,1.741,1.52,1.322,1.724,0.444,0.923,18.823,1.66,52.0,0.061,67.574
144,1.270614,8.65,8.131,1.699,1.002,0.05,1.538,0.976,4.98,2.014,0.826,4.1,1.004,1.291,1.741,1.52,1.322,1.724,0.444,0.923,18.823,1.66,52.0,0.061,67.574
145,1.300314,8.65,8.153,1.601,0.982,0.041,1.588,0.771,4.98,1.998,0.86,4.1,1.053,1.269,1.765,1.52,1.425,1.672,0.481,0.55,15.113,1.66,52.0,0.055,57.624
146,1.287414,8.65,8.153,1.601,0.982,0.041,1.588,0.771,4.98,1.998,0.86,4.1,1.053,1.269,1.765,1.52,1.425,1.672,0.481,0.55,15.113,1.66,52.0,0.055,57.624
147,1.079914,8.65,8.146,1.815,0.941,0.047,1.538,1.013,4.98,2.0,0.857,4.1,1.007,1.268,1.768,1.52,1.472,1.715,0.607,0.787,19.03,1.66,52.0,0.055,58.207
148,1.132014,8.65,8.146,1.815,0.941,0.047,1.538,1.013,4.98,2.0,0.857,4.1,1.007,1.268,1.768,1.52,1.472,1.715,0.607,0.787,19.03,1.66,52.0,0.055,58.207
149,1.273914,8.65,8.203,1.706,0.974,0.027,1.588,0.813,4.98,1.948,0.85,4.1,1.239,1.264,1.781,1.52,1.498,1.651,-0.396,0.643,15.888,1.66,52.0,0.047,71.406
150,1.338114,8.65,8.203,1.706,0.974,0.027,1.588,0.813,4.98,1.948,0.85,4.1,1.239,1.264,1.781,1.52,1.498,1.651,-0.396,0.643,15.888,1.66,52.0,0.047,71.406
151,1.260014,8.65,8.196,1.911,0.936,0.032,1.552,1.107,4.98,1.95,0.847,4.1,1.126,1.263,1.783,1.52,1.507,1.693,-0.238,0.883,19.852,1.66,52.0,0.047,72.045
152,1.009014,8.65,8.196,1.911,0.936,0.032,1.552,1.107,4.98,1.95,0.847,4.1,1.126,1.263,1.783,1.52,1.507,1.693,-0.238,0.883,19.852,1.66,52.0,0.047,72.045
153,1.436414,8.65,8.193,1.49,0.968,0.047,1.588,0.543,4.98,2.051,0.859,4.1,1.107,1.29,1.783,1.52,1.357,1.669,0.774,0.513,15.419,1.66,52.0,0.049,53.497
154,1.482814,8.65,8.193,1.49,0.968,0.047,1.588,0.543,4.98,2.051,0.859,4.1,1.107,1.29,1.783,1.52,1.357,1.669,0.774,0.513,15.419,1.66,52.0,0.049,53.497
155,1.520814,8.65,8.186,1.741,0.928,0.053,1.538,0.884,4.98,2.053,0.856,4.1,1.062,1.289,1.786,1.52,1.44,1.711,0.87,0.798,19.346,1.66,52.0,0.049,54.217
156,0.840214,8.65,8.186,1.741,0.928,0.053,1.538,0.884,4.98,2.053,0.856,4.1,1.062,1.289,1.786,1.52,1.44,1.711,0.87,0.798,19.346,1.66,52.0,0.049,54.217
157,1.240114,8.65,8.169,1.642,0.984,0.032,1.588,0.849,4.98,1.944,0.834,4.1,1.189,1.21,1.707,1.52,1.433,1.652,-0.396,0.654,15.788,1.66,52.0,0.051,79.923
158,1.235414,8.65,8.169,1.642,0.984,0.032,1.588,0.849,4.98,1.944,0.834,4.1,1.189,1.21,1.707,1.52,1.433,1.652,-0.396,0.654,15.788,1.66,52.0,0.051,79.923
159,1.146514,8.65,8.166,1.847,0.937,0.034,1.538,1.13,4.98,1.924,0.84,4.1,1.076,1.207,1.718,1.52,1.444,1.684,-0.238,0.887,19.691,1.66,52.0,0.051,78.273
160,1.035514,8.65,8.166,1.847,0.937,0.034,1.538,1.13,4.98,1.924,0.84,4.1,1.076,1.207,1.718,1.52,1.444,1.684,-0.238,0.887,19.691,1.66,52.0,0.051,78.273
161,1.251414,8.65,8.185,1.488,0.982,0.035,1.588,0.705,4.98,1.971,0.847,4.1,1.111,1.246,1.768,1.52,1.477,1.64,0.294,0.637,15.629,1.66,52.0,0.052,64.93
162,1.214914,8.65,8.185,1.488,0.982,0.035,1.588,0.705,4.98,1.971,0.847,4.1,1.111,1.246,1.768,1.52,1.477,1.64,0.294,0.637,15.629,1.66,52.0,0.052,64.93
163,1.081814,8.65,8.173,1.692,0.949,0.041,1.538,0.994,4.98,1.996,0.835,4.1,1.048,1.248,1.762,1.52,1.482,1.692,0.444,0.885,19.532,1.66,52.0,0.052,67.753
164,1.066414,8.65,8.173,1.692,0.949,0.041,1.538,0.994,4.98,1.996,0.835,4.1,1.048,1.248,1.762,1.52,1.482,1.692,0.444,0.885,19.532,1.66,52.0,0.052,67.753
165,1.280814,8.65,8.189,1.254,0.961,0.026,1.588,0.544,4.98,1.977,0.87,4.1,0.795,1.242,1.772,1.52,1.259,1.651,0.69,0.512,15.4,1.66,52.0,0.048,61.557
166,1.180314,8.65,8.189,1.254,0.961,0.026,1.588,0.544,4.98,1.977,0.87,4.1,0.795,1.242,1.772,1.52,1.259,1.651,0.69,0.512,15.4,1.66,52.0,0.048,61.557
167,1.132314,8.65,8.179,1.446,0.924,0.033,1.538,0.877,4.98,2.002,0.857,4.1,0.797,1.243,1.765,1.52,1.272,1.702,0.794,0.788,19.368,1.66,52.0,0.049,64.578
168,1.029114,8.65,8.179,1.446,0.924,0.033,1.538,0.877,4.98,2.002,0.857,4.1,0.797,1.243,1.765,1.52,1.272,1.702,0.794,0.788,19.368,1.66,52.0,0.049,64.578
169,0.925214,8.65,8.211,1.126,1.0,0.052,1.586,1.553,4.982,2.066,0.867,4.1,0.813,1.297,1.77,1.52,0.966,1.681,1.635,0.91,15.385,1.66,52.0,0.044,50.835
170,0.890514,8.65,8.211,1.126,1.0,0.052,1.586,1.553,4.982,2.066,0.867,4.1,0.813,1.297,1.77,1.52,0.966,1.681,1.635,0.91,15.385,1.66,52.0,0.044,50.835
171,1.183414,8.65,8.177,1.446,0.965,0.042,1.588,0.995,4.98,2.028,0.852,4.1,0.915,1.246,1.772,1.52,1.503,1.662,0.774,0.514,15.27,1.66,52.0,0.052,54.999
172,1.286614,8.65,8.177,1.446,0.965,0.042,1.588,0.995,4.98,2.028,0.852,4.1,0.915,1.246,1.772,1.52,1.503,1.662,0.774,0.514,15.27,1.66,52.0,0.052,54.999
173,1.041314,8.65,8.17,1.671,0.925,0.047,1.538,1.311,4.98,2.031,0.849,4.1,0.897,1.246,1.775,1.52,1.544,1.704,0.87,0.803,19.193,1.66,52.0,0.053,55.672
174,1.058714,8.65,8.17,1.671,0.925,0.047,1.538,1.311,4.98,2.031,0.849,4.1,0.897,1.246,1.775,1.52,1.544,1.704,0.87,0.803,19.193,1.66,52.0,0.053,55.672
175,1.249514,8.65,8.277,1.147,0.922,0.036,1.588,1.264,4.98,2.016,0.85,4.1,0.781,1.284,1.762,1.52,1.12,1.646,1.635,0.806,16.702,1.66,52.0,0.035,67.461
176,1.253914,8.65,8.277,1.147,0.922,0.036,1.588,1.264,4.98,2.016,0.85,4.1,0.781,1.284,1.762,1.52,1.12,1.646,1.635,0.806,16.702,1.66,52.0,0.035,67.461
177,1.042514,8.65,8.271,1.296,0.885,0.041,1.538,1.6,4.98,2.018,0.847,4.1,0.79,1.284,1.764,1.52,1.186,1.688,1.676,1.129,20.672,1.66,52.0,0.035,68.023
178,1.060314,8.65,8.271,1.296,0.885,0.041,1.538,1.6,4.98,2.018,0.847,4.1,0.79,1.284,1.764,1.52,1.186,1.688,1.676,1.129,20.672,1.66,52.0,0.035,68.023
179,1.233714,8.65,8.158,1.902,1.026,0.025,1.588,0.75,4.98,2.124,0.886,4.1,1.316,1.349,1.795,1.52,1.62,1.716,-0.396,0.612,15.073,1.66,52.0,0.055,50.222
180,1.193614,8.65,8.158,1.902,1.026,0.025,1.588,0.75,4.98,2.124,0.886,4.1,1.316,1.349,1.795,1.52,1.62,1.716,-0.396,0.612,15.073,1.66,52.0,0.055,50.222
181,1.034414,8.65,8.151,2.138,0.982,0.032,1.538,1.035,4.98,2.126,0.882,4.1,1.193,1.347,1.798,1.52,1.644,1.76,-0.238,0.852,18.965,1.66,52.0,0.055,50.879
182,0.928114,8.65,8.151,2.138,0.982,0.032,1.538,1.035,4.98,2.126,0.882,4.1,1.193,1.347,1.798,1.52,1.644,1.76,-0.238,0.852,18.965,1.66,52.0,0.055,50.879
183,1.525214,8.65,8.203,1.7,0.974,0.023,1.588,0.813,4.98,1.938,0.85,4.1,1.239,1.264,1.788,1.52,1.43,1.651,-0.396,0.643,15.888,1.66,52.0,0.047,69.392
184,1.179614,8.65,8.203,1.7,0.974,0.023,1.588,0.813,4.98,1.938,0.85,4.1,1.239,1.264,1.788,1.52,1.43,1.651,-0.396,0.643,15.888,1.66,52.0,0.047,69.392
185,1.064214,8.65,8.197,1.905,0.936,0.029,1.562,1.107,4.98,1.94,0.847,4.1,1.126,1.263,1.791,1.52,1.438,1.693,-0.238,0.883,19.852,1.66,52.0,0.047,70.125
186,0.897314,8.65,8.197,1.905,0.936,0.029,1.562,1.107,4.98,1.94,0.847,4.1,1.126,1.263,1.791,1.52,1.438,1.693,-0.238,0.883,19.852,1.66,52.0,0.047,70.125
187,1.271514,8.65,8.277,1.147,0.922,0.036,1.588,1.264,4.98,2.016,0.85,4.1,0.781,1.284,1.762,1.52,1.12,1.646,1.635,0.806,16.702,1.66,52.0,0.035,67.461
188,1.275914,8.65,8.277,1.147,0.922,0.036,1.588,1.264,4.98,2.016,0.85,4.1,0.781,1.284,1.762,1.52,1.12,1.646,1.635,0.806,16.702,1.66,52.0,0.035,67.461
189,1.090414,8.65,8.271,1.296,0.885,0.041,1.538,1.6,4.98,2.018,0.847,4.1,0.79,1.284,1.764,1.52,1.186,1.688,1.676,1.129,20.672,1.66,52.0,0.035,68.023
190,1.114514,8.65,8.271,1.296,0.885,0.041,1.538,1.6,4.98,2.018,0.847,4.1,0.79,1.284,1.764,1.52,1.186,1.688,1.676,1.129,20.672,1.66,52.0,0.035,68.023
191,1.301814,8.65,8.135,1.369,1.014,0.031,1.59,0.715,4.98,1.991,0.865,4.1,1.037,1.279,1.793,1.52,1.114,1.696,0.007,0.584,14.747,1.66,52.0,0.062,56.077
192,1.302314,8.65,8.135,1.369,1.014,0.031,1.59,0.715,4.98,1.991,0.865,4.1,1.037,1.279,1.793,1.52,1.114,1.696,0.007,0.584,14.747,1.66,52.0,0.062,56.077
193,1.107614,8.65,8.128,1.589,0.971,0.036,1.541,0.986,4.98,1.993,0.862,4.1,0.991,1.278,1.796,1.52,1.181,1.739,0.203,0.823,18.652,1.66,52.0,0.063,57.127
194,1.171114,8.65,8.128,1.589,0.971,0.036,1.541,0.986,4.98,1.993,0.862,4.1,0.991,1.278,1.796,1.52,1.181,1.739,0.203,0.823,18.652,1.66,52.0,0.063,57.127
195,1.237214,8.65,8.125,1.146,1.032,0.087,1.589,0.979,4.98,2.181,0.88,4.1,1.029,1.289,1.797,1.52,1.185,1.708,0.979,0.605,14.638,1.66,52.0,0.065,38.808
196,1.214614,8.65,8.125,1.146,1.032,0.087,1.589,0.979,4.98,2.181,0.88,4.1,1.029,1.289,1.797,1.52,1.185,1.708,0.979,0.605,14.638,1.66,52.0,0.065,38.808
197,1.024514,8.65,8.117,1.352,0.986,0.096,1.539,1.311,4.98,2.183,0.876,4.1,1.009,1.288,1.8,1.52,1.176,1.751,1.058,0.914,18.492,1.66,52.0,0.065,39.673
198,0.891714,8.65,8.117,1.352,0.986,0.096,1.539,1.311,4.98,2.183,0.876,4.1,1.009,1.288,1.8,1.52,1.176,1.751,1.058,0.914,18.492,1.66,52.0,0.065,39.673
199,1.226714,8.65,8.148,1.289,1.033,0.051,1.591,0.654,4.98,2.031,0.826,4.1,0.944,1.298,1.734,1.52,1.114,1.684,0.607,0.647,15.01,1.66,52.0,0.058,63.833
200,1.199814,8.65,8.148,1.289,1.033,0.051,1.591,0.654,4.98,2.031,0.826,4.1,0.944,1.298,1.734,1.52,1.114,1.684,0.607,0.647,15.01,1.66,52.0,0.058,63.833
201,1.162514,8.65,8.141,1.486,0.993,0.056,1.541,0.912,4.98,2.034,0.823,4.1,0.927,1.297,1.737,1.52,1.132,1.728,0.719,0.894,18.934,1.66,52.0,0.058,65.437
202,1.026214,8.65,8.141,1.486,0.993,0.056,1.541,0.912,4.98,2.034,0.823,4.1,0.927,1.297,1.737,1.52,1.132,1.728,0.719,0.894,18.934,1.66,52.0,0.058,65.437
203,1.254214,8.65,8.162,1.396,0.976,0.049,1.59,0.732,4.98,2.017,0.855,4.1,0.955,1.276,1.762,1.52,1.202,1.677,0.747,0.513,15.207,1.66,52.0,0.052,54.33
204,1.266414,8.65,8.162,1.396,0.976,0.049,1.59,0.732,4.98,2.017,0.855,4.1,0.955,1.276,1.762,1.52,1.202,1.677,0.747,0.513,15.207,1.66,52.0,0.052,54.33
205,1.050514,8.65,8.155,1.602,0.936,0.054,1.541,1.063,4.98,2.019,0.852,4.1,0.935,1.275,1.764,1.52,1.272,1.72,0.845,0.799,19.132,1.66,52.0,0.052,55.278
206,1.137614,8.65,8.155,1.602,0.936,0.054,1.541,1.063,4.98,2.019,0.852,4.1,0.935,1.275,1.764,1.52,1.272,1.72,0.845,0.799,19.132,1.66,52.0,0.052,55.278
207,1.219614,8.65,8.212,1.381,0.965,0.033,1.59,0.767,4.98,1.964,0.846,4.1,1.035,1.269,1.777,1.52,1.16,1.655,0.007,0.611,16.048,1.66,52.0,0.045,68.473
208,1.274414,8.65,8.212,1.381,0.965,0.033,1.59,0.767,4.98,1.964,0.846,4.1,1.035,1.269,1.777,1.52,1.16,1.655,0.007,0.611,16.048,1.66,52.0,0.045,68.473
209,1.009514,8.65,8.205,1.598,0.928,0.038,1.552,1.051,4.98,1.966,0.843,4.1,0.991,1.268,1.78,1.52,1.228,1.697,0.203,0.852,20.019,1.66,52.0,0.046,69.464
210,1.122914,8.65,8.205,1.598,0.928,0.038,1.552,1.051,4.98,1.966,0.843,4.1,0.991,1.268,1.78,1.52,1.228,1.697,0.203,0.852,20.019,1.66,52.0,0.046,69.464
211,1.455914,8.65,8.202,1.341,0.963,0.055,1.59,0.682,4.98,2.067,0.855,4.1,1.015,1.295,1.78,1.52,1.18,1.673,0.979,0.548,15.528,1.66,52.0,0.047,50.33
212,1.381114,8.65,8.202,1.341,0.963,0.055,1.59,0.682,4.98,2.067,0.855,4.1,1.015,1.295,1.78,1.52,1.18,1.673,0.979,0.548,15.528,1.66,52.0,0.047,50.33
213,0.915014,8.65,8.195,1.57,0.923,0.061,1.541,1.022,4.98,2.069,0.852,4.1,0.993,1.295,1.782,1.52,1.271,1.716,1.058,0.842,19.463,1.66,52.0,0.047,51.401
214,0.826014,8.65,8.195,1.57,0.923,0.061,1.541,1.022,4.98,2.069,0.852,4.1,0.993,1.295,1.782,1.52,1.271,1.716,1.058,0.842,19.463,1.66,52.0,0.047,51.401
215,1.221714,8.65,8.182,1.335,0.966,0.036,1.59,0.787,4.98,1.939,0.839,4.1,0.99,1.214,1.716,1.52,1.116,1.646,0.007,0.615,15.886,1.66,52.0,0.049,74.838
216,1.219214,8.65,8.182,1.335,0.966,0.036,1.59,0.787,4.98,1.939,0.839,4.1,0.99,1.214,1.716,1.52,1.116,1.646,0.007,0.615,15.886,1.66,52.0,0.049,74.838
217,1.151314,8.65,8.175,1.544,0.928,0.04,1.541,1.072,4.98,1.942,0.836,4.1,0.947,1.213,1.718,1.52,1.176,1.688,0.203,0.856,19.86,1.66,52.0,0.049,75.788
218,0.996514,8.65,8.175,1.544,0.928,0.04,1.541,1.072,4.98,1.942,0.836,4.1,0.947,1.213,1.718,1.52,1.176,1.688,0.203,0.856,19.86,1.66,52.0,0.049,75.788
219,1.214814,8.65,8.194,1.288,0.975,0.042,1.591,0.642,4.98,1.989,0.843,4.1,0.985,1.252,1.764,1.52,1.22,1.644,0.607,0.598,15.743,1.66,52.0,0.049,62.027
220,1.217114,8.65,8.194,1.288,0.975,0.042,1.591,0.642,4.98,1.989,0.843,4.1,0.985,1.252,1.764,1.52,1.22,1.644,0.607,0.598,15.743,1.66,52.0,0.049,62.027
221,1.135214,8.65,8.187,1.497,0.936,0.047,1.541,0.894,4.98,1.991,0.84,4.1,0.956,1.252,1.767,1.52,1.276,1.686,0.719,0.841,19.682,1.66,52.0,0.05,63.035
222,1.023614,8.65,8.187,1.497,0.936,0.047,1.541,0.894,4.98,1.991,0.84,4.1,0.956,1.252,1.767,1.52,1.276,1.686,0.719,0.841,19.682,1.66,52.0,0.05,63.035
223,1.177514,8.65,8.198,1.167,0.957,0.034,1.59,0.668,4.98,1.994,0.865,4.1,0.769,1.248,1.769,1.52,1.135,1.655,0.911,0.54,15.514,1.66,52.0,0.046,58.264
224,1.243214,8.65,8.198,1.167,0.957,0.034,1.59,0.668,4.98,1.994,0.865,4.1,0.769,1.248,1.769,1.52,1.135,1.655,0.911,0.54,15.514,1.66,52.0,0.046,58.264
225,1.101714,8.65,8.192,1.334,0.917,0.039,1.541,1.001,4.98,1.996,0.862,4.1,0.775,1.247,1.771,1.52,1.189,1.697,0.995,0.83,19.451,1.66,52.0,0.047,59.274
226,1.118114,8.65,8.192,1.334,0.917,0.039,1.541,1.001,4.98,1.996,0.862,4.1,0.775,1.247,1.771,1.52,1.189,1.697,0.995,0.83,19.451,1.66,52.0,0.047,59.274
227,0.951314,8.65,8.215,1.116,0.992,0.061,1.588,1.719,4.982,2.113,0.854,4.1,0.825,1.318,1.758,1.52,0.945,1.695,1.727,0.972,15.51,1.66,52.0,0.043,48.669
228,0.879414,8.65,8.215,1.116,0.992,0.061,1.588,1.719,4.982,2.113,0.854,4.1,0.825,1.318,1.758,1.52,0.945,1.695,1.727,0.972,15.51,1.66,52.0,0.043,48.669
229,0.660514,8.65,8.208,1.274,0.95,0.067,1.538,2.047,4.982,2.115,0.852,4.1,0.836,1.317,1.76,1.52,0.953,1.738,1.765,1.316,19.445,1.66,52.0,0.043,49.718
230,0.662514,8.65,8.208,1.274,0.95,0.067,1.538,2.047,4.982,2.115,0.852,4.1,0.836,1.317,1.76,1.52,0.953,1.738,1.765,1.316,19.445,1.66,52.0,0.043,49.718
231,1.226414,8.65,8.186,1.3,0.96,0.049,1.59,1.088,4.98,2.046,0.847,4.1,0.857,1.253,1.769,1.52,1.296,1.667,0.979,0.556,15.374,1.66,52.0,0.05,51.947
232,1.043714,8.65,8.179,1.508,0.921,0.054,1.541,1.405,4.98,2.049,0.844,4.1,0.853,1.252,1.771,1.52,1.357,1.709,1.058,0.853,19.305,1.66,52.0,0.05,52.973
233,0.902014,8.65,8.179,1.508,0.921,0.054,1.541,1.405,4.98,2.049,0.844,4.1,0.853,1.252,1.771,1.52,1.357,1.709,1.058,0.853,19.305,1.66,52.0,0.05,52.973
234,1.200414,8.65,8.28,1.129,0.917,0.043,1.59,1.426,4.98,2.05,0.841,4.1,0.788,1.298,1.753,1.52,1.083,1.656,1.727,0.861,17.001,1.66,52.0,0.034,65.181
235,1.277614,8.65,8.28,1.129,0.917,0.043,1.59,1.426,4.98,2.05,0.841,4.1,0.788,1.298,1.753,1.52,1.083,1.656,1.727,0.861,17.001,1.66,52.0,0.034,65.181
236,1.014114,8.65,8.274,1.269,0.881,0.048,1.541,1.76,4.98,2.052,0.838,4.1,0.798,1.298,1.755,1.52,1.145,1.697,1.765,1.188,20.983,1.66,52.0,0.034,66.086
237,0.858814,8.65,8.274,1.269,0.881,0.048,1.541,1.76,4.98,2.052,0.838,4.1,0.798,1.298,1.755,1.52,1.145,1.697,1.765,1.188,20.983,1.66,52.0,0.034,66.086
238,1.292114,8.65,8.167,1.527,1.018,0.034,1.59,0.7,4.98,2.14,0.88,4.1,1.098,1.353,1.791,1.52,1.251,1.72,0.007,0.576,15.131,1.66,52.0,0.053,46.693
239,1.212614,8.65,8.167,1.527,1.018,0.034,1.59,0.7,4.98,2.14,0.88,4.1,1.098,1.353,1.791,1.52,1.251,1.72,0.007,0.576,15.131,1.66,52.0,0.053,46.693
240,1.113814,8.65,8.161,1.777,0.975,0.041,1.541,0.973,4.98,2.142,0.877,4.1,1.05,1.352,1.793,1.52,1.337,1.763,0.203,0.818,19.034,1.66,52.0,0.053,47.729
241,1.221914,8.65,8.161,1.777,0.975,0.041,1.541,0.973,4.98,2.142,0.877,4.1,1.05,1.352,1.793,1.52,1.337,1.763,0.203,0.818,19.034,1.66,52.0,0.053,47.729
242,1.222014,8.65,8.28,1.129,0.917,0.043,1.59,1.426,4.98,2.05,0.841,4.1,0.788,1.298,1.753,1.52,1.083,1.656,1.727,0.861,17.001,1.66,52.0,0.034,65.181
243,1.215814,8.65,8.28,1.129,0.917,0.043,1.59,1.426,4.98,2.05,0.841,4.1,0.788,1.298,1.753,1.52,1.083,1.656,1.727,0.861,17.001,1.66,52.0,0.034,65.181
244,1.209414,8.65,8.274,1.269,0.881,0.048,1.541,1.76,4.98,2.052,0.838,4.1,0.798,1.298,1.755,1.52,1.145,1.697,1.765,1.188,20.983,1.66,52.0,0.034,66.086
245,1.074514,8.65,8.274,1.269,0.881,0.048,1.541,1.76,4.98,2.052,0.838,4.1,0.798,1.298,1.755,1.52,1.145,1.697,1.765,1.188,20.983,1.66,52.0,0.034,66.086
246,1.232514,8.06,7.311,1.691,1.058,0.038,1.567,0.573,5.175,1.907,0.844,2.92,1.068,1.212,1.763,1.39,1.279,1.65,0.283,0.321,12.091,1.55,54.94,0.057,53.212
247,1.229914,8.06,7.311,1.691,1.058,0.038,1.567,0.573,5.175,1.907,0.844,2.92,1.068,1.212,1.763,1.39,1.279,1.65,0.283,0.321,12.091,1.55,54.94,0.057,53.212
248,1.043414,8.06,7.303,1.998,1.015,0.046,1.518,0.856,5.175,1.911,0.841,2.92,0.962,1.211,1.766,1.39,1.35,1.701,0.435,0.434,15.196,1.55,54.94,0.057,53.899
249,1.260114,8.06,7.287,1.149,1.072,0.109,1.566,0.734,5.174,2.114,0.857,2.92,1.011,1.226,1.767,1.39,1.14,1.681,1.093,0.353,11.649,1.55,54.94,0.059,37.174
250,1.285114,8.06,7.287,1.149,1.072,0.109,1.566,0.734,5.174,2.114,0.857,2.92,1.011,1.226,1.767,1.39,1.14,1.681,1.093,0.353,11.649,1.55,54.94,0.059,37.174
251,1.244914,8.06,7.339,1.379,1.077,0.062,1.567,0.521,5.175,1.941,0.806,2.92,0.846,1.226,1.702,1.39,1.158,1.626,0.768,0.394,12.542,1.55,54.94,0.053,60.12
252,1.250514,8.06,7.339,1.379,1.077,0.062,1.567,0.521,5.175,1.941,0.806,2.92,0.846,1.226,1.702,1.39,1.158,1.626,0.768,0.394,12.542,1.55,54.94,0.053,60.12
