MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L5-O-CuCu-CHO,1,3.0,5.851,40.612,0.088,474.794,3.953,110.801,11525.69111,6.027,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.029,6.8394,1.075,1.552,28.907,4.258,6.101
L5-O-FeFe-C,1,3.0,5.817,47.119,0.092,464.528,3.946,104.43,11274.91639,6.042,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.029,6.8394,1.018,1.552,31.025,4.258,5.864
L5-O-FeFe-CHO,1,3.0,5.893,47.308,0.088,474.794,3.946,110.801,11525.69111,6.078,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.029,6.8394,1.019,1.552,31.472,4.258,6.101
L5-O-MnMn-C,1,1.18066667,5.831,50.058,0.092,464.528,3.945,104.43,11274.91639,6.069,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.029,6.8394,1.011,1.552,32.296,4.258,5.864
L5-O-MnMn-CHO,0,1.28241667,5.911,50.213,0.088,474.794,3.945,110.801,11525.69111,6.104,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.029,6.8394,1.012,1.552,32.742,4.258,6.101
L5-O-NiNi-C,1,3.0,5.796,42.41,0.092,464.528,3.949,104.43,11274.91639,6.003,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.029,6.8394,1.039,1.552,29.166,4.258,5.864
L5-O-NiNi-CHO,1,3.0,5.864,42.652,0.088,474.794,3.949,110.801,11525.69111,6.041,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.029,6.8394,1.04,1.552,29.613,4.258,6.101
L5-O-ScSc-C,0,3.0,5.937,74.626,0.092,464.528,3.925,104.43,11274.91639,6.362,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.026,6.8394,0.928,1.604,44.285,4.254,5.864
L5-O-ScSc-CHO,0,3.0,6.047,74.453,0.088,474.794,3.925,110.801,11525.69111,6.389,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.026,6.8394,0.927,1.606,44.731,4.254,6.101
L5-O-TiTi-C,1,1.87191667,5.898,65.292,0.092,464.528,3.933,104.43,11274.91639,6.24,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.026,6.8394,0.953,1.58,39.293,4.256,5.864
L5-O-TiTi-CHO,0,1.608,5.997,65.253,0.088,474.794,3.933,110.801,11525.69111,6.269,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.026,6.8394,0.953,1.583,39.739,4.256,6.101
L5-O-VV-C,1,2.41391667,5.87,58.857,0.092,464.528,3.94,104.43,11274.91639,6.162,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.027,6.8394,0.979,1.558,36.134,4.257,5.864
L5-O-VV-CHO,1,3.0,5.962,58.903,0.088,474.794,3.94,110.801,11525.69111,6.194,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.027,6.8394,0.979,1.561,36.58,4.257,6.101
L5-O-ZnZn-C,1,3.0,5.8,43.293,0.092,464.528,3.954,104.43,11274.91639,6.01,449.209,9.426,6.05,7.724,0.06,75.891,3.073,0.368,-13.661,3.455,541.471,24,2.974,96.007,1.237,4.03,6.8394,1.084,1.552,27.859,4.258,5.864
L5-O-ZnZn-CHO,1,3.0,5.869,43.526,0.088,474.794,3.954,110.801,11525.69111,6.048,497.68,9.44,6.051,7.775,0.085,54.082,3.115,0.384,-15.999,3.714,517.928,24,3.007,102.378,1.237,4.03,6.8394,1.087,1.552,28.305,4.258,6.101
L6-N-CoCo-C,1,3.0,5.615,39.55,0.092,335.547,3.927,89.165,5289.575942,6.002,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.005,2.469,1.047,1.529,28.821,4.232,5.864
L6-N-CoCo-CHO,1,3.0,5.702,39.602,0.088,345.814,3.927,95.536,5518.127891,6.04,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.005,2.469,1.053,1.532,29.268,4.232,6.101
L6-N-CrCr-C,1,3.0,5.669,53.307,0.092,335.547,3.919,89.165,5289.575942,6.12,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.001,2.469,0.986,1.588,33.123,4.231,5.864
L6-N-CrCr-CHO,1,3.0,5.775,53.147,0.088,345.814,3.919,95.536,5518.127891,6.154,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.001,2.469,0.992,1.59,33.569,4.231,6.101
L6-N-CuCu-C,1,3.0,5.596,34.821,0.092,335.547,3.931,89.165,5289.575942,5.971,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.003,2.469,1.082,1.496,27.133,4.232,5.864
L6-N-CuCu-CHO,1,3.0,5.675,34.942,0.088,345.814,3.931,95.536,5518.127891,6.01,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.003,2.469,1.089,1.5,27.579,4.232,6.101
L6-N-FeFe-C,1,3.0,5.627,42.581,0.092,335.547,3.924,89.165,5289.575942,6.025,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.004,2.469,1.021,1.548,29.937,4.231,5.864
L6-N-FeFe-CHO,1,3.0,5.718,42.588,0.088,345.814,3.924,95.536,5518.127891,6.062,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.004,2.469,1.027,1.551,30.383,4.231,6.101
L6-N-MnMn-C,1,3.0,5.64,45.942,0.092,335.547,3.923,89.165,5289.575942,6.052,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.004,2.469,1.013,1.567,31.329,4.231,5.864
L6-N-MnMn-CHO,1,3.0,5.736,45.898,0.088,345.814,3.923,95.536,5518.127891,6.088,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.004,2.469,1.019,1.57,31.775,4.231,6.101
L6-N-NiNi-C,1,3.0,5.605,37.187,0.092,335.547,3.927,89.165,5289.575942,5.986,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.003,2.469,1.045,1.512,27.903,4.232,5.864
L6-N-NiNi-CHO,1,3.0,5.688,37.274,0.088,345.814,3.927,95.536,5518.127891,6.025,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.003,2.469,1.051,1.515,28.35,4.232,6.101
L6-N-ScSc-C,0,3.0,5.745,73.849,0.092,335.547,3.902,89.165,5289.575942,6.35,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,3.999,2.469,0.916,1.658,44.516,4.228,5.864
L6-N-ScSc-CHO,0,3.0,5.878,73.34,0.088,345.814,3.902,95.536,5518.127891,6.377,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,3.999,2.469,0.921,1.66,44.962,4.228,6.101
L6-N-TiTi-C,1,3.0,5.706,63.286,0.092,335.547,3.91,89.165,5289.575942,6.226,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.0,2.469,0.946,1.633,39.015,4.229,5.864
L6-N-TiTi-CHO,1,3.0,5.826,62.961,0.088,345.814,3.91,95.536,5518.127891,6.256,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.0,2.469,0.951,1.635,39.461,4.229,6.101
L6-N-VV-C,1,3.0,5.679,55.975,0.092,335.547,3.917,89.165,5289.575942,6.147,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.001,2.469,0.976,1.61,35.541,4.23,5.864
L6-N-VV-CHO,1,3.0,5.789,55.772,0.088,345.814,3.917,95.536,5518.127891,6.18,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.001,2.469,0.982,1.612,35.987,4.23,6.101
L6-N-ZnZn-C,1,3.0,5.61,38.2,0.092,335.547,3.932,89.165,5289.575942,5.993,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,70,2.951,80.742,1.103,4.004,2.469,1.095,1.481,26.475,4.232,5.864
L6-N-ZnZn-CHO,1,3.0,5.694,38.272,0.088,345.814,3.932,95.536,5518.127891,6.031,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,70,2.966,87.113,1.106,4.004,2.469,1.102,1.485,26.921,4.232,6.101
L6-O-CoCo-C,1,3.0,5.609,40.325,0.092,340.521,3.927,94.138,11309.75888,6.001,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.005,3.2094,1.044,1.483,27.73,4.232,5.864
L6-O-CoCo-CHO,1,3.0,5.696,40.404,0.088,350.788,3.927,100.509,11561.02248,6.039,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.005,3.2094,1.05,1.488,28.177,4.232,6.101
L6-O-CrCr-C,1,3.0,5.663,53.944,0.092,340.521,3.919,94.138,11309.75888,6.119,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.001,3.2094,0.983,1.538,31.656,4.231,5.864
L6-O-CrCr-CHO,1,3.0,5.77,53.816,0.088,350.788,3.919,100.509,11561.02248,6.153,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.001,3.2094,0.989,1.541,32.102,4.231,6.101
L6-O-CuCu-C,1,3.0,5.59,35.643,0.092,340.521,3.931,94.138,11309.75888,5.97,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.003,3.2094,1.079,1.453,26.186,4.232,5.864
L6-O-CuCu-CHO,1,3.0,5.669,35.789,0.088,350.788,3.931,100.509,11561.02248,6.01,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.003,3.2094,1.086,1.458,26.632,4.232,6.101
L6-O-FeFe-C,1,3.0,5.622,43.326,0.092,340.521,3.924,94.138,11309.75888,6.024,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.004,3.2094,1.018,1.5,28.75,4.231,5.864
L6-O-FeFe-CHO,1,3.0,5.713,43.361,0.088,350.788,3.924,100.509,11561.02248,6.061,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.004,3.2094,1.024,1.504,29.196,4.231,6.101
L6-O-MnMn-C,1,1.92925,5.635,46.653,0.092,340.521,3.923,94.138,11309.75888,6.051,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.004,3.2094,1.01,1.518,30.02,4.231,5.864
L6-O-MnMn-CHO,1,1.38575,5.731,46.638,0.088,350.788,3.923,100.509,11561.02248,6.087,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.004,3.2094,1.016,1.522,30.466,4.231,6.101
L6-O-NiNi-C,1,3.0,5.6,37.986,0.092,340.521,3.927,94.138,11309.75888,5.985,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.003,3.2094,1.042,1.468,26.891,4.232,5.864
L6-O-NiNi-CHO,1,3.0,5.683,38.098,0.088,350.788,3.927,100.509,11561.02248,6.024,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.003,3.2094,1.048,1.472,27.337,4.232,6.101
L6-O-ScSc-C,0,3.0,5.74,74.278,0.092,340.521,3.902,94.138,11309.75888,6.35,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,3.999,3.2094,0.913,1.604,42.01,4.228,5.864
L6-O-ScSc-CHO,0,3.0,5.873,73.81,0.088,350.788,3.902,100.509,11561.02248,6.376,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,3.999,3.2094,0.918,1.606,42.456,4.228,6.101
L6-O-TiTi-C,1,1.4175,5.701,63.823,0.092,340.521,3.91,94.138,11309.75888,6.225,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.0,3.2094,0.943,1.58,37.017,4.229,5.864
L6-O-TiTi-CHO,0,1.28325,5.821,63.534,0.088,350.788,3.91,100.509,11561.02248,6.256,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.0,3.2094,0.948,1.583,37.463,4.229,6.101
L6-O-VV-C,1,3.0,5.674,56.586,0.092,340.521,3.917,94.138,11309.75888,6.146,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.001,3.2094,0.973,1.558,33.858,4.23,5.864
L6-O-VV-CHO,1,3.0,5.784,56.416,0.088,350.788,3.917,100.509,11561.02248,6.179,472.452,9.44,6.051,7.775,0.085,7.464,3.115,0.384,-15.999,3.873,376.675,56,2.953,92.087,1.106,4.001,3.2094,0.979,1.561,34.305,4.23,6.101
L6-O-ZnZn-C,1,3.0,5.604,38.989,0.092,340.521,3.932,94.138,11309.75888,5.992,425.663,9.426,6.05,7.724,0.063,2.362,3.073,0.368,-13.661,3.607,400.217,56,2.941,85.715,1.103,4.004,3.2094,1.092,1.44,25.583,4.232,5.864
L7-N-CoCo-C,1,3.0,5.798,44.17,0.068,371.912,3.846,129.367,4631.938414,5.896,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.953,3.8934,0.995,1.529,31.305,4.145,6.238
L7-N-CoCo-CHO,1,3.0,5.874,44.042,0.067,386.016,3.855,135.738,4701.161452,5.954,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.956,3.8934,1.004,1.533,32.029,4.15,6.289
L7-N-CrCr-C,1,3.0,5.867,56.414,0.068,371.912,3.837,129.367,4631.938414,6.026,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.948,3.8934,0.944,1.588,35.606,4.143,6.238
L7-N-CrCr-CHO,1,3.0,5.958,56.098,0.067,386.016,3.855,135.738,4701.161452,6.077,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.951,3.8934,0.954,1.59,36.331,4.148,6.289
L7-N-CuCu-C,1,3.0,5.774,39.966,0.068,371.912,3.85,129.367,4631.938414,5.862,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.949,3.8934,1.025,1.496,29.616,4.146,6.238
L7-N-CuCu-CHO,1,3.0,5.844,39.901,0.067,386.016,3.855,135.738,4701.161452,5.921,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.952,3.8934,1.034,1.5,30.341,4.15,6.289
L7-N-FeFe-C,1,3.0,5.814,46.866,0.068,371.912,3.843,129.367,4631.938414,5.921,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.951,3.8934,0.973,1.548,32.42,4.144,6.238
L7-N-FeFe-CHO,1,3.0,5.893,46.697,0.067,386.016,3.855,135.738,4701.161452,5.978,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.954,3.8934,0.983,1.551,33.145,4.149,6.289
L7-N-MnMn-C,1,3.0,5.831,49.856,0.068,371.912,3.842,129.367,4631.938414,5.952,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.951,3.8934,0.966,1.567,33.812,4.144,6.238
L7-N-MnMn-CHO,1,3.0,5.914,49.642,0.067,386.016,3.855,135.738,4701.161452,6.006,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.954,3.8934,0.976,1.57,34.537,4.149,6.289
L7-N-NiNi-C,1,3.0,5.786,42.069,0.068,371.912,3.846,129.367,4631.938414,5.878,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.949,3.8934,0.993,1.512,30.387,4.145,6.238
L7-N-NiNi-CHO,1,3.0,5.859,41.973,0.067,386.016,3.855,135.738,4701.161452,5.937,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.952,3.8934,1.003,1.516,31.111,4.15,6.289
L7-N-ScSc-C,0,3.0,5.962,74.744,0.068,371.912,3.822,129.367,4631.938414,6.277,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.945,3.8934,0.888,1.658,46.999,4.139,6.238
L7-N-ScSc-CHO,0,3.0,6.073,74.128,0.067,386.016,3.85,135.738,4701.161452,6.316,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.948,3.8934,0.898,1.66,47.724,4.144,6.289
L7-N-TiTi-C,1,3.0,5.914,65.311,0.068,371.912,3.829,129.367,4631.938414,6.142,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.946,3.8934,0.911,1.633,41.498,4.141,6.238
L7-N-TiTi-CHO,1,3.0,6.015,64.853,0.067,386.016,3.853,135.738,4701.161452,6.187,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.948,3.8934,0.922,1.635,42.223,4.146,6.289
L7-N-VV-C,1,3.0,5.879,58.792,0.068,371.912,3.835,129.367,4631.938414,6.056,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.947,3.8934,0.936,1.61,38.024,4.143,6.238
L7-N-VV-CHO,1,3.0,5.973,58.438,0.067,386.016,3.855,135.738,4701.161452,6.105,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.95,3.8934,0.946,1.612,38.749,4.148,6.289
L7-N-ZnZn-C,1,3.0,5.791,42.97,0.068,371.912,3.852,129.367,4631.938414,5.886,546.486,9.797,6.006,5.207,0.063,66.823,3.101,0.359,-12.653,4.372,565.013,38,3.032,105.737,1.165,3.951,3.8934,1.036,1.481,28.958,4.146,6.238
L7-N-ZnZn-CHO,1,3.0,5.866,42.86,0.067,386.016,3.855,135.738,4701.161452,5.944,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,38,3.069,112.108,1.165,3.954,3.8934,1.046,1.485,29.683,4.151,6.289
L7-O-CoCo-C,1,3.0,5.796,44.756,0.067,380.722,3.855,134.34,10395.88125,5.912,488.321,9.799,6.006,5.205,0.063,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.956,4.6338,0.998,1.483,30.492,4.15,6.053
L7-O-CoCo-CHO,1,3.0,5.868,45.008,0.067,390.989,3.855,140.711,10649.50486,5.953,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.956,4.6338,1.001,1.488,30.938,4.15,6.289
L7-O-CrCr-C,1,3.0,5.864,56.827,0.067,380.722,3.855,134.34,10395.88125,6.04,488.321,9.799,6.006,5.205,0.062,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.951,4.6338,0.949,1.538,34.418,4.148,6.053
L7-O-CrCr-CHO,1,3.0,5.952,56.935,0.067,390.989,3.855,140.711,10649.50486,6.076,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.951,4.6338,0.95,1.541,34.864,4.148,6.289
L7-O-CuCu-C,1,3.0,5.771,40.613,0.067,380.722,3.855,134.34,10395.88125,5.878,488.321,9.799,6.006,5.205,0.063,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.952,4.6338,1.028,1.453,28.948,4.15,6.053
L7-O-CuCu-CHO,1,3.0,5.837,40.911,0.067,390.989,3.855,140.711,10649.50486,5.92,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.952,4.6338,1.031,1.458,29.394,4.15,6.289
L7-O-FeFe-C,1,3.0,5.811,47.413,0.067,380.722,3.855,134.34,10395.88125,5.936,488.321,9.799,6.006,5.205,0.063,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.954,4.6338,0.977,1.5,31.512,4.149,6.053
L7-O-FeFe-CHO,1,3.0,5.887,47.635,0.067,390.989,3.855,140.711,10649.50486,5.977,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.954,4.6338,0.979,1.504,31.958,4.149,6.289
L7-O-MnMn-C,0,1.26116667,5.828,50.361,0.067,380.722,3.855,134.34,10395.88125,5.966,488.321,9.799,6.006,5.205,0.062,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.954,4.6338,0.971,1.518,32.782,4.149,6.053
L7-O-MnMn-CHO,0,1.5935,5.908,50.548,0.067,390.989,3.855,140.711,10649.50486,6.005,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.954,4.6338,0.973,1.522,33.228,4.149,6.289
L7-O-NiNi-C,1,3.0,5.783,42.685,0.067,380.722,3.855,134.34,10395.88125,5.894,488.321,9.799,6.006,5.205,0.063,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.952,4.6338,0.997,1.468,29.653,4.15,6.053
L7-O-NiNi-CHO,1,3.0,5.853,42.96,0.067,390.989,3.855,140.711,10649.50486,5.936,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.952,4.6338,0.999,1.472,30.099,4.15,6.289
L7-O-ScSc-C,0,3.0,5.959,74.91,0.067,380.722,3.851,134.34,10395.88125,6.287,488.321,9.799,6.006,5.205,0.062,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.948,4.6338,0.894,1.604,44.771,4.144,6.053
L7-O-ScSc-CHO,0,3.0,6.067,74.77,0.067,390.989,3.851,140.711,10649.50486,6.316,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.948,4.6338,0.894,1.606,45.218,4.144,6.289
L7-O-TiTi-C,0,1.44383333,5.911,65.603,0.067,380.722,3.853,134.34,10395.88125,6.154,488.321,9.799,6.006,5.205,0.062,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.948,4.6338,0.918,1.58,39.779,4.146,6.053
L7-O-TiTi-CHO,0,2.51566667,6.01,65.595,0.067,390.989,3.854,140.711,10649.50486,6.187,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.948,4.6338,0.918,1.583,40.225,4.146,6.289
L7-O-VV-C,1,2.58558333,5.877,59.172,0.067,380.722,3.855,134.34,10395.88125,6.069,488.321,9.799,6.006,5.205,0.062,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.95,4.6338,0.941,1.558,36.62,4.148,6.053
L7-O-VV-CHO,1,2.33733333,5.968,59.25,0.067,390.989,3.855,140.711,10649.50486,6.104,543.392,9.9,6.007,5.479,0.091,47.603,3.115,0.361,-15.128,4.245,517.928,24,3.033,117.081,1.165,3.95,4.6338,0.942,1.561,37.066,4.148,6.289
L7-O-ZnZn-C,1,2.89116667,5.789,43.573,0.067,380.722,3.855,134.34,10395.88125,5.901,488.321,9.799,6.006,5.205,0.063,68.102,3.103,0.343,-12.816,3.938,541.471,24,3.032,110.71,1.165,3.954,4.6338,1.039,1.44,28.345,4.151,6.053
L8-N-CoCo-C,1,3.0,5.707,41.563,0.067,340.693,3.956,94.311,5334.148115,5.951,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.032,4.0833,1.019,1.529,29.784,4.344,6.053
L8-N-CoCo-CHO,1,3.0,5.787,41.737,0.067,350.96,3.956,100.682,5566.782537,5.99,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.032,4.0833,1.024,1.533,30.23,4.344,6.289
L8-N-CrCr-C,1,3.0,5.771,54.469,0.067,340.693,3.948,94.311,5334.148115,6.074,473.663,9.799,6.006,5.205,0.066,9.008,3.103,0.343,-12.816,4.014,400.217,60,3.017,160.872,1.15,4.029,4.0833,0.965,1.588,34.086,4.343,6.053
L8-N-CrCr-CHO,1,3.0,5.868,54.467,0.067,350.96,3.948,100.682,5566.782537,6.11,520.452,9.9,6.007,5.479,0.091,3.059,3.115,0.361,-15.128,4.266,376.675,60,3.045,167.243,1.15,4.029,4.0833,0.968,1.591,34.532,4.343,6.289
