MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L4-N-CuCu-CHO,1,3.0,5.671,34.549,0.094,343.976,3.795,93.698,4374.403986,5.864,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,1.084,1.5,26.306,4.06,5.934
L4-N-FeFe-C,1,3.0,5.635,41.903,0.098,333.709,3.795,87.327,4149.343422,5.881,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,1.019,1.548,28.665,4.059,5.698
L4-N-FeFe-CHO,1,3.0,5.726,41.96,0.094,343.976,3.795,93.698,4374.403986,5.923,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,1.025,1.551,29.111,4.059,5.934
L4-N-MnMn-C,1,3.0,5.654,45.147,0.098,333.709,3.795,87.327,4149.343422,5.912,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,1.011,1.567,30.056,4.058,5.698
L4-N-MnMn-CHO,1,3.0,5.749,45.155,0.094,343.976,3.795,93.698,4374.403986,5.954,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,1.017,1.57,30.502,4.058,5.934
L4-N-NiNi-C,1,3.0,5.605,36.679,0.098,333.709,3.795,87.327,4149.343422,5.836,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,1.042,1.512,26.631,4.059,5.698
L4-N-NiNi-CHO,1,3.0,5.688,36.814,0.094,343.976,3.795,93.698,4374.403986,5.88,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,1.048,1.515,27.077,4.059,5.934
L4-N-ScSc-C,0,3.0,5.798,71.745,0.098,333.709,3.791,87.327,4149.343422,6.248,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,0.919,1.658,43.243,4.052,5.698
L4-N-ScSc-CHO,0,3.0,5.924,71.324,0.094,343.976,3.795,93.698,4374.403986,6.278,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,0.923,1.66,43.689,4.052,5.934
L4-N-TiTi-C,1,3.0,5.745,61.749,0.098,333.709,3.795,87.327,4149.343422,6.109,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,0.948,1.633,37.742,4.054,5.698
L4-N-TiTi-CHO,1,3.0,5.861,61.495,0.094,343.976,3.795,93.698,4374.403986,6.144,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,0.952,1.635,38.188,4.054,5.934
L4-N-VV-C,1,3.0,5.707,54.779,0.098,333.709,3.795,87.327,4149.343422,6.02,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,0.977,1.61,34.268,4.056,5.698
L4-N-VV-CHO,1,3.0,5.815,54.638,0.094,343.976,3.795,93.698,4374.403986,6.058,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,0.982,1.612,34.715,4.056,5.934
L4-N-ZnZn-C,1,3.0,5.61,37.662,0.098,333.709,3.795,87.327,4149.343422,5.844,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,72,2.947,171.899,1.059,3.91,2.0573,1.089,1.481,25.202,4.061,5.698
L4-N-ZnZn-CHO,1,3.0,5.695,37.782,0.094,343.976,3.795,93.698,4374.403986,5.888,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,72,2.962,178.27,1.062,3.936,2.0573,1.097,1.485,25.648,4.061,5.934
L4-O-CoCo-C,1,3.0,5.612,39.789,0.098,338.683,3.795,92.3,10022.58349,5.853,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,1.04,1.483,26.458,4.059,5.698
L4-O-CoCo-CHO,1,3.0,5.698,39.916,0.094,348.95,3.795,98.672,10275.51744,5.897,466.346,9.566,6.006,7.293,0.095,19.102,3.115,0.373,-14.34,4.164,376.675,58,2.95,183.243,1.062,3.939,2.7977,1.047,1.488,26.904,4.059,5.934
L4-O-CrCr-C,1,3.0,5.688,52.902,0.098,338.683,3.795,92.3,10022.58349,5.989,420.058,9.526,6.006,7.22,0.068,31.266,3.073,0.355,-12.128,3.889,400.217,58,2.938,176.872,1.058,3.913,2.7977,0.982,1.538,30.383,4.057,5.698
